x_coordinate,y_coordinate,time_interval_seconds
294,302,0.0645
291,298,0.017
283,294,0.0163
271,290,0.0163
252,284,0.0162
198,270,0.0174
167,261,0.0167
129,255,0.0173
100,250,0.016
89,248,0.0167
89,247,0.0483
88,246,0.0162
87,246,0.0165
86,245,0.0173
84,242,0.0167
83,240,0.0166
79,238,0.0173
78,237,0.017
