x_coordinate,y_coordinate,time_interval_seconds
1069,474,0.049
1064,461,0.0168
1055,449,0.016
1043,432,0.0175
1015,389,0.016
974,329,0.0165
926,258,0.0175
900,229,0.0164
887,210,0.0175
873,192,0.0161
857,172,0.016
848,160,0.0165
842,149,0.017
837,141,0.017
835,138,0.017
834,137,0.017
832,136,0.0661
832,135,0.0175
831,135,0.0166
831,134,0.032
830,133,0.016
