x_coordinate,y_coordinate,time_interval_seconds
815,667,0.0498
812,662,0.0173
805,652,0.0172
792,627,0.0168
784,611,0.0163
775,595,0.0166
761,565,0.0163
755,547,0.0165
749,528,0.018
748,519,0.0165
748,514,0.0164
748,511,0.0161
747,502,0.0171
742,492,0.0167
739,482,0.0163
735,473,0.0162
732,463,0.0169
729,455,0.0177
728,452,0.0162
728,450,0.0658
728,448,0.0174
728,447,0.0158
728,445,0.0165
728,444,0.0168
727,444,0.033
726,443,0.0165
726,442,0.0166
725,442,0.0169
