x_coordinate,y_coordinate,time_interval_seconds
509,373,0.0322
509,371,0.0341
509,367,0.017
504,346,0.017
499,328,0.0156
490,304,0.0167
482,281,0.0176
461,230,0.0165
461,230,0.0
455,213,0.0165
453,207,0.016
452,203,0.0161
451,201,0.0163
451,199,0.0166
449,192,0.017
448,184,0.0161
446,171,0.0172
443,156,0.0156
434,132,0.0169
422,104,0.0174
420,98,0.0157
420,97,0.017
420,95,0.149
420,92,0.0162
420,87,0.017
420,80,0.0167
420,75,0.0167
420,72,0.016
420,71,0.0175
